label,source,dataset,sample_number,filename,filepath,file_size,filename_length,extension_count,has_double_extension,has_uppercase_extension,has_unicode_control_char,special_char_ratio,extension_category,is_executable_extension,is_script_extension,is_macro_document,is_archive_extension,is_unknown_extension,magic_bytes_known,magic_bytes_valid,extension_mime_mismatch,has_content_type,claimed_mime_mismatch,embedded_file_signature_count,byte_entropy,header_entropy,printable_ratio,null_byte_ratio,unique_byte_count,url_count,ip_address_count,base64_candidate_count,suspicious_command_count,execution_api_count,network_api_count,obfuscation_pattern_count,suspicious_string_count,archive_entry_count,executable_entry_count,script_entry_count,archive_depth,compression_ratio,archive_bomb_suspected
0,met,image_anomaly_benign,298,met_57035_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_57035_primary_000.jpg,2938361,25,1,0,0,0,0.16,image,0,0,0,0,0,1,1,0,0,0,59,7.982434152072635,3.4852180133465667,0.3757111532585683,0.00840842905279508,256,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,299,met_57139_additional_001.jpg,data/raw/image_anomaly/benign/met/jpg/met_57139_additional_001.jpg,241486,28,1,0,0,0,0.14285714285714285,image,0,0,0,0,0,1,1,0,0,0,1,7.450193229569284,3.485015720633768,0.3352244022427801,0.0665877110888416,256,6,0,1,0,0,0,1,1,0,0,0,0,0.0,0
0,met,image_anomaly_benign,300,met_57139_additional_002.jpg,data/raw/image_anomaly/benign/met/jpg/met_57139_additional_002.jpg,2346807,28,1,0,0,0,0.14285714285714285,image,0,0,0,0,0,1,1,0,0,0,9,7.929083462595115,4.963572782774719,0.36693345468971245,0.01662642049388808,256,18,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,301,met_57139_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_57139_primary_000.jpg,275672,25,1,0,0,0,0.16,image,0,0,0,0,0,1,1,0,0,0,1,7.51857003058448,3.484808191689697,0.33760410923126033,0.05928059432949302,256,6,0,1,0,0,0,1,1,0,0,0,0,0.0,0
0,met,image_anomaly_benign,302,met_573269_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_573269_primary_000.jpg,2869372,26,1,0,0,0,0.15384615384615385,image,0,0,0,0,0,1,1,0,0,0,68,7.9661381587698195,5.06368269286672,0.3659943708937008,0.010856382511573962,256,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,303,met_5790_additional_001.jpg,data/raw/image_anomaly/benign/met/jpg/met_5790_additional_001.jpg,1328117,27,1,0,0,0,0.14814814814814814,image,0,0,0,0,0,1,1,0,0,0,17,7.929748927548937,4.940248601442579,0.36879808028961303,0.012559134473845301,256,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,304,met_5790_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_5790_primary_000.jpg,1156294,24,1,0,0,0,0.16666666666666666,image,0,0,0,0,0,1,1,0,0,0,5,7.716691478500741,4.934836225745756,0.3436807593916426,0.01878242038789443,256,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,305,met_581221_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_581221_primary_000.jpg,3133673,26,1,0,0,0,0.15384615384615385,image,0,0,0,0,0,1,1,0,0,0,48,7.97080322798308,6.424415748336015,0.36827071618512847,0.013448754863701477,256,8,0,0,1,0,0,0,1,0,0,0,0,0.0,0
0,met,image_anomaly_benign,306,met_58132_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_58132_primary_000.jpg,1327325,25,1,0,0,0,0.16,image,0,0,0,0,0,1,1,0,0,0,12,7.944324761596834,5.313429463319996,0.38167517375171867,0.014038762172037745,256,26,0,0,1,0,0,0,1,0,0,0,0,0.0,0
0,met,image_anomaly_benign,307,met_62636_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_62636_primary_000.jpg,124665,25,1,0,0,0,0.16,image,0,0,0,0,0,1,1,0,0,0,0,7.85633843327074,3.488819395173774,0.3926122006978703,0.012208719367905988,256,6,0,1,0,0,0,1,1,0,0,0,0,0.0,0
